algorithm,mode,corpus,original_size,compressed_size,ratio_pct,time_ms,decompress_ok,crc_match,original_crc,decompressed_crc,error
LZDP,memory,pattern,672,34,5.05952,18.4552,yes,yes,1650755555,1650755555,
LZSS,memory,pattern,672,107,15.9226,0.0824,yes,yes,1650755555,1650755555,
DPFlate,memory,pattern,672,39,5.80357,76.9461,yes,yes,1650755555,1650755555,
3HfMT,memory,pattern,672,683,101.637,35.4355,no,no,1650755555,0,
Deflate,memory,pattern,672,38,5.65476,0.073,yes,yes,1650755555,1650755555,
LZDP,memory,random,384,389,101.302,6.984,yes,yes,1062950254,1062950254,
LZSS,memory,random,384,436,113.542,0.1894,yes,yes,1062950254,1062950254,
DPFlate,memory,random,384,644,167.708,34.6702,yes,yes,1062950254,1062950254,
3HfMT,memory,random,384,1266,329.688,34.3839,no,no,1062950254,0,
Deflate,memory,random,384,643,167.448,0.1645,yes,yes,1062950254,1062950254,
LZDP,memory,text,22300,728,3.26457,3300.59,yes,yes,1285883837,1285883837,
LZSS,memory,text,22300,2997,13.4395,17.5421,yes,yes,1285883837,1285883837,
DPFlate,memory,text,22300,468,2.09865,115.035,yes,yes,1285883837,1285883837,
3HfMT,memory,text,22300,1059,4.74888,113.619,no,no,1285883837,0,
Deflate,memory,text,22300,476,2.13453,0.4304,yes,yes,1285883837,1285883837,
LZDP,memory,binary_64k,65536,65913,100.575,9197.23,yes,yes,979218824,979218824,
LZSS,memory,binary_64k,65536,73710,112.473,621.814,yes,yes,979218824,979218824,
DPFlate,memory,binary_64k,65536,65920,100.586,50.0887,yes,yes,979218824,979218824,
3HfMT,memory,binary_64k,65536,66889,102.065,49.1983,no,no,979218824,0,
Deflate,memory,binary_64k,65536,66978,102.2,5.3484,no,no,979218824,0,
