algorithm,mode,corpus,original_size,compressed_size,ratio_pct,time_ms,decompress_ok,crc_match,original_crc,decompressed_crc,error
LZDP,memory,pattern,672,34,5.05952,17.1011,yes,yes,1650755555,1650755555,
LZSS,memory,pattern,672,107,15.9226,0.7719,yes,yes,1650755555,1650755555,
DPFlate,memory,pattern,672,39,5.80357,8.012,yes,yes,1650755555,1650755555,
3HfMT,memory,pattern,672,683,101.637,6.982,yes,yes,1650755555,1650755555,
Deflate,memory,pattern,672,38,5.65476,0.0699,yes,yes,1650755555,1650755555,
DPFlate,memory_flag,pattern,672,39,5.80357,6.8897,yes,yes,1650755555,1650755555,
DPFlate_3HM,memory_flag,pattern,672,683,101.637,7.1684,yes,yes,1650755555,1650755555,
LZDP,memory,random,384,389,101.302,6.3085,yes,yes,1062950254,1062950254,
LZSS,memory,random,384,436,113.542,0.2518,yes,yes,1062950254,1062950254,
DPFlate,memory,random,384,644,167.708,3.9257,yes,yes,1062950254,1062950254,
3HfMT,memory,random,384,1266,329.688,4.1444,yes,yes,1062950254,1062950254,
Deflate,memory,random,384,643,167.448,0.2189,yes,yes,1062950254,1062950254,
DPFlate,memory_flag,random,384,644,167.708,3.9364,yes,yes,1062950254,1062950254,
DPFlate_3HM,memory_flag,random,384,1266,329.688,4.134,yes,yes,1062950254,1062950254,
LZDP,memory,text,22300,728,3.26457,3067.88,yes,yes,1285883837,1285883837,
LZSS,memory,text,22300,2997,13.4395,28.5361,yes,yes,1285883837,1285883837,
DPFlate,memory,text,22300,468,2.09865,179.873,yes,yes,1285883837,1285883837,
3HfMT,memory,text,22300,1059,4.74888,181.225,yes,yes,1285883837,1285883837,
Deflate,memory,text,22300,476,2.13453,0.6697,yes,yes,1285883837,1285883837,
DPFlate,memory_flag,text,22300,468,2.09865,191.808,yes,yes,1285883837,1285883837,
DPFlate_3HM,memory_flag,text,22300,1059,4.74888,293.371,yes,yes,1285883837,1285883837,
LZDP,memory,binary_64k,65536,65913,100.575,13264.5,yes,yes,979218824,979218824,
LZSS,memory,binary_64k,65536,73710,112.473,1282.86,yes,yes,979218824,979218824,
DPFlate,memory,binary_64k,65536,65920,100.586,30.8172,yes,yes,979218824,979218824,
3HfMT,memory,binary_64k,65536,66889,102.065,36.0325,yes,yes,979218824,979218824,
Deflate,memory,binary_64k,65536,66982,102.206,11.6555,yes,yes,979218824,979218824,
DPFlate,memory_flag,binary_64k,65536,65920,100.586,30.9569,yes,yes,979218824,979218824,
DPFlate_3HM,memory_flag,binary_64k,65536,66889,102.065,30.0761,yes,yes,979218824,979218824,
LZDP,memory,mixed_2mb,2097152,718192,34.2461,428437,yes,yes,2686440026,2686440026,
LZSS,memory,mixed_2mb,2097152,951442,45.3683,8714.31,yes,yes,2686440026,2686440026,
DPFlate,memory,mixed_2mb,2097152,686400,32.7301,44705.8,no,no,2686440026,0,
3HfMT,memory,mixed_2mb,2097152,690355,32.9187,46091.6,no,no,2686440026,0,
Deflate,memory,mixed_2mb,2097152,724243,34.5346,120.062,yes,yes,2686440026,2686440026,
DPFlate,memory_flag,mixed_2mb,2097152,686400,32.7301,44648,no,no,2686440026,0,
DPFlate_3HM,memory_flag,mixed_2mb,2097152,690355,32.9187,43187.8,no,no,2686440026,0,
